Sample ID,DRP ppb,NH3 ppm,NO3 ppm,date,plot,sample
1320A_WPC_5/29/2021_4-1_A,5.11,0.00215,9.74,5/29/2021,4,1
1320A_WPC_5/29/2021_4-2_A,5.85,0.00148,10,5/29/2021,4,2
1320A_WPC_5/29/2021_4-3_A,5.6,0.000738,10.5,5/29/2021,4,3
1320A_WPC_5/29/2021_4-4_A,5.57,0.00287,10.5,5/29/2021,4,4
1320A_WPC_5/29/2021_4-5_A,5.34,0.00288,10.5,5/29/2021,4,5
1320A_WPC_6/1/2021_6-1_A,4.39,0.00493,18.3,6/1/2021,6,1
1320A_WPC_5/29/2021_6-2_A,4.29,0.00361,18,5/29/2021,6,2
1320A_WPC_5/29/2021_6-3_A,4.87,0.00826,18.2,5/29/2021,6,3
1320A_WPC_5/29/2021_6-4_A,4.26,0.0115,18.2,5/29/2021,6,4
1320A_WPC_5/29/2021_6-5_A,3.28,0.0573,18.1,5/29/2021,6,5
1320A_WPC_5/29/2021_7-1_A,5.65,0.0107,14.9,5/29/2021,7,1
1320A_WPC_5/29/2021_7-2_A,13.7,0.00348,14.4,5/29/2021,7,2
1320A_WPC_5/29/2021_7-3_A,18.6,0.0042,14.5,5/29/2021,7,3
1320A_WPC_5/29/2021_7-4_A,17.4,0.00211,14.3,5/29/2021,7,4
1320A_WPC_5/29/2021_7-5_A,14.9,0.0349,13.9,5/29/2021,7,5
1320A_WPC_5/30/2021_2-1_A,4.89,0.00862,15.7,5/30/2021,2,1
1320A_WPC_5/30/2021_2-2_A,5.14,0.00528,16,5/30/2021,2,2
1320A_WPC_5/30/2021_2-3_A,4.56,0.00138,16.3,5/30/2021,2,3
1320A_WPC_5/30/2021_2-4_A,4.15,0.000898,16.6,5/30/2021,2,4
1320A_WPC_5/30/2021_2-5_A,3.79,0.000161,17.3,5/30/2021,2,5
1320A_WPC_5/30/2021_2-6_A,3.91,0.00203,17.8,5/30/2021,2,6
1320A_WPC_5/30/2021_2-7_A,3.83,0.00196,17,5/30/2021,2,7
1320A_WPC_5/30/2021_4-1_A,4.12,0.00181,10.6,5/30/2021,4,1
1320A_WPC_5/30/2021_6-1_A,5.75,0.0127,17.3,5/30/2021,6,1
1320A_WPC_5/30/2021_6-2_A,3.77,0.00723,17.4,5/30/2021,6,2
1320A_WPC_5/30/2021_6-3_A,5.2,0.0059,17.5,5/30/2021,6,3
1320A_WPC_5/30/2021_6-4_A,5.34,0.00564,17.9,5/30/2021,6,4
1320A_WPC_5/30/2021_6-5_A,4.99,0.00924,18.1,5/30/2021,6,5
1320A_WPC_5/30/2021_6-6_A,4.13,0.00201,18.4,5/30/2021,6,6
1320A_WPC_5/30/2021_6-7_A,4.09,0.00498,18.6,5/30/2021,6,7
1320A_WPC_5/30/2021_7-1_A,9.41,0.0633,14.2,5/30/2021,7,1
1320A_WPC_6/1/2021_4-1_A,4.54,0.0023,10.9,6/1/2021,4,1
1320A_WPC_6/1/2021_4-2_A,5.47,0.0022,10.7,6/1/2021,4,2
1320A_WPC_6/1/2021_4-3_A,4.98,0.00123,10.7,6/1/2021,4,3
1320A_WPC_6/1/2021_4-4_A,5.03,0.00204,10.5,6/1/2021,4,4
1320A_WPC_6/1/2021_4-5_A,5.78,0.00221,10.8,6/1/2021,4,5
1320A_WPC_6/1/2021_4-7_A,6.24,0.00306,10.4,6/1/2021,4,7
1320A_WPC_6/1/2021_4-8_A,6.08,0.0032,10.4,6/1/2021,4,8
1320A_WPC_6/1/2021_4-9_A,6.16,0.00298,10.1,6/1/2021,4,9
1320A_WPC_6/1/2021_2-1_A,4.24,0.00194,16,6/1/2021,2,1
1320A_WPC_6/1/2021_2-2_A,3.87,0.0017,15.7,6/1/2021,2,2
1320A_WPC_6/1/2021_2-3_A,4.26,0.00138,15.4,6/1/2021,2,3
1320A_WPC_6/1/2021_2-4_A,4.56,0.0193,15.2,6/1/2021,2,4
1320A_WPC_6/1/2021_2-5_A,4.26,0.00153,15.4,6/1/2021,2,5
1320A_WPC_6/1/2021_2-6_A,4.6,0.00325,15,6/1/2021,2,6
1320A_WPC_6/1/2021_2-7_A,4.91,0.00372,15.2,6/1/2021,2,7
1320A_WPC_6/1/2021_2-8_A,4.64,0.00382,15,6/1/2021,2,8
1320A_WPC_6/1/2021_2-9_A,4.78,0.00805,15.1,6/1/2021,2,9