source,site,date,season,total_mp,total_fiber,total_fragment,total_microbead,volume (L),mp_concentration (#/L),site_mean
tile,moga_inlet_tile,4/9/20,spring,10,8,2,0,1,,
tile,moga_inlet_tile,4/23/20,spring,9,7,2,0,1,,
tile,moga_inlet_tile,5/6/20,spring,12,12,0,0,1,,
tile,moga_inlet_tile,6/18/20,spring,11,9,1,0,1,,
tile,moga_inlet_tile,6/30/20,summer,7,7,0,0,1,,
tile,moga_inlet_tile,7/14/20,summer,8,7,1,0,1,,
tile,moga_inlet_tile,7/29/21,summer,8,6,2,0,1,,
tile,moga_inlet_tile,8/26/21,summer,9,7,2,0,1,,
tile,bray_tile,4/9/20,spring,12,11,1,0,1,,
tile,bray_tile,4/23/20,spring,9,7,2,0,1,,
tile,bray_tile,5/6/20,spring,15,12,3,0,1,,
tile,bray_tile,6/18/20,spring,8,5,3,0,1,,
tile,bray_tile,6/30/20,summer,8,7,1,0,1,,
tile,bray_tile,7/14/20,summer,5,3,2,0,1,,
tile,bray_tile,7/29/21,summer,14,11,2,1,1,,
tile,bray_tile,8/26/21,summer,10,8,1,1,1,,
tile,t1,4/9/20,spring,10,8,2,0,1,,
tile,t1,4/23/20,spring,11,10,1,0,1,,
tile,t1,5/6/20,spring,9,8,1,0,1,,
tile,t1,6/18/20,spring,10,8,2,0,1,,
tile,t1,6/30/20,summer,7,7,0,0,1,,
tile,t1,7/14/20,summer,11,8,3,0,1,,
tile,t1,7/29/21,summer,10,8,2,0,1,,
tile,t1,8/26/21,summer,11,8,3,0,1,,
tile,t2e,4/9/20,spring,8,7,1,0,1,,
tile,t2e,4/23/20,spring,10,9,1,0,1,,
tile,t2e,5/6/20,spring,13,12,1,0,1,,
tile,t2e,6/18/20,spring,7,4,3,0,1,,
tile,t2e,6/30/20,summer,8,7,1,0,1,,
tile,t2e,7/14/20,summer,7,6,1,0,1,,
tile,t2e,7/29/21,summer,6,6,0,0,1,,
tile,t2e,8/26/21,summer,9,8,1,0,1,,
tile,t2s,4/9/20,spring,10,9,1,0,1,,
tile,t2s,4/23/20,spring,9,8,1,0,1,,
tile,t2s,5/6/20,spring,12,10,2,0,1,,
tile,t2s,6/18/20,spring,9,7,2,0,1,,
tile,t2s,6/30/20,summer,9,7,2,0,1,,
tile,t2s,7/14/20,summer,5,4,1,0,1,,
tile,t2s,7/29/21,summer,7,5,2,0,1,,
tile,t2s,8/26/21,summer,8,7,1,0,1,,
stream,six_mile,4/9/20,spring,9,8,1,0,1,,
stream,six_mile,4/23/20,spring,12,10,2,0,1,,
stream,six_mile,5/6/20,spring,10,7,3,0,1,,
stream,six_mile,6/18/20,spring,14,12,2,0,1,,
stream,six_mile,6/30/20,summer,5,3,2,0,1,,
stream,six_mile,7/14/20,summer,8,6,1,1,1,,
stream,six_mile,7/29/21,summer,7,5,2,0,1,,
stream,six_mile,8/26/21,summer,6,6,0,0,1,,
stream,money_creek,4/9/20,spring,8,6,2,0,1,,
stream,money_creek,4/23/20,spring,9,8,1,0,1,,
stream,money_creek,5/6/20,spring,10,8,2,0,1,,
stream,money_creek,6/18/20,spring,11,9,2,0,1,,
stream,money_creek,6/30/20,summer,7,6,1,0,1,,
stream,money_creek,7/14/20,summer,6,4,1,1,1,,
stream,money_creek,7/29/21,summer,9,8,1,0,1,,
stream,money_creek,8/26/21,summer,10,8,2,0,1,,
stream,bray_down,4/9/20,spring,7,6,1,0,1,,
stream,bray_down,4/23/20,spring,10,9,1,0,1,,
stream,bray_down,5/6/20,spring,12,10,2,0,1,,
stream,bray_down,6/18/20,spring,9,7,2,0,1,,
stream,bray_down,6/30/20,summer,10,7,2,1,1,,
stream,bray_down,7/14/20,summer,10,7,2,1,1,,
stream,bray_down,7/29/21,summer,11,9,2,0,1,,
stream,bray_down,8/26/21,summer,9,7,2,0,1,,
stream,frog_down,4/9/20,spring,8,8,0,0,1,,
stream,frog_down,4/23/20,spring,9,8,1,0,1,,
stream,frog_down,5/6/20,spring,12,9,3,0,1,,
stream,frog_down,6/18/20,spring,7,5,2,0,1,,
stream,frog_down,6/30/20,summer,8,7,1,0,1,,
stream,frog_down,7/14/20,summer,8,7,1,0,1,,
stream,frog_down,7/29/21,summer,8,6,2,0,1,,
stream,frog_down,8/26/21,summer,9,6,2,1,1,,