year,season,plot,block,treatment,Sample,ph,ph_b,p_ppm,k_ppm,om_percent_loi,ca_ppm,mg_ppm,cec_meq_100g,base_ca_percent,base_mg_percent,base_k_percent,base_h_percent,base_na_percent,s_ppm,zn_ppm,b_ppm,fe_ppm,mn_ppm,cu_ppm,na_ppm,no3n_ppm,nh4n_ppm
2021,fall,9,south,pc_n,1,5.9,6.7,44.9,103.5,2.66,"1,548",70.9,11.1,69.7,5.3,2.4,22,0.5,7.6,2,0.7,260.9,32.8,1.8,13.9,11.1,3
2021,fall,9,south,pc_n,2,6.3,7,19.4,113.5,2.67,"1,947",123,12.92,75.3,7.9,2.2,14,0.5,5.1,1.7,0.6,191.1,52.8,2,14.7,9.6,3.5
2021,fall,9,south,pc_n,3,6.2,7,48.7,132.7,3.15,"1,967",81.5,12.99,75.7,5.2,2.6,16,0.5,8.4,1.9,0.7,339.9,11.4,1.9,13.3,8.6,3.1
2021,fall,8,south,pc  ,1,6.8,7,15.5,106.9,2.48,"1,981",128.4,11.77,84.1,9.1,2.3,4,0.5,6.2,1.4,0.5,142.5,28.5,1.7,12.3,8.3,3.3
2021,fall,8,south,pc  ,2,6.2,7,37.5,89.8,2.71,"1,549",79,10.34,74.9,6.4,2.2,16,0.5,8.5,1.2,0.6,323.8,9.7,1.5,11.7,7.4,3
2021,fall,8,south,pc  ,3,6.5,7,13.9,127.4,3.42,"2,386",234.7,15.85,75.2,12.3,2.1,10,0.3,6.4,1.2,0.6,148.8,39.5,1.9,12.8,7.9,3
2021,fall,7,south,ref,1,5.7,6.3,42.6,133.6,3.54,"1,853",82.9,13.99,66.2,4.9,2.5,26,0.4,8.1,1.8,0.6,352.8,11.7,1.8,12.3,14.8,2.9
2021,fall,7,south,ref,2,6.1,6.9,31.4,115.2,2.77,"1,695",79.7,11.58,73.2,5.7,2.5,18,0.5,5.9,1.6,0.6,231.5,24.6,1.7,13.1,13.2,2.6
2021,fall,7,south,ref,3,5.5,6.2,47,109.1,3.44,"1,520",80.6,12.31,61.7,5.5,2.3,30,0.5,7.7,1.8,0.7,363.5,7.4,1.6,14.9,8.6,2.5
2021,fall,6,north,ref,1,6.9,7,125.6,144.9,5.94,"3,790",424.9,23.4,81,15.1,1.6,2,0.3,8.3,10.7,1,177.8,36.9,3.4,15,17.6,3.3
2021,fall,6,north,ref,2,6.7,7,117.2,158.2,6.36,"3,980",483,25.96,76.6,15.5,1.6,6,0.3,7.6,12.9,1,165.9,30.3,3.4,17.8,14.8,3.9
2021,fall,6,north,ref,3,7,7,54.5,105.2,5.15,"3,726",439.8,22.64,82.3,16.2,1.2,0,0.3,6.9,5.1,0.9,115.7,26.6,2.6,18,13,3.6
2021,fall,5,north,pc_n,1,6.9,7,72.4,105.1,6.31,"3,908",457.8,24.18,80.8,15.8,1.1,2,0.3,6.6,8.5,0.9,139.6,23.5,2.8,16.7,9.1,2.9
2021,fall,5,north,pc_n,2,7.2,7,45.5,90.4,5.01,"3,427",408.2,20.84,82.2,16.3,1.1,0,0.3,8,5.7,0.9,109.4,51.2,2.9,15,7.8,3.1
2021,fall,5,north,pc_n,3,6.9,7,50.2,125.6,4.78,"3,057",380.3,19.27,79.3,16.4,1.7,2,0.5,4.9,5.9,0.7,118.8,52,2.1,23.9,7.2,3.2
2021,fall,4,north,pc,1,6.9,7,59,128.1,5.35,"3,855",487.1,24.22,79.6,16.8,1.4,2,0.3,4.6,8,0.9,124.1,29.6,3.3,16.4,11.7,3.6
2021,fall,4,north,pc,2,7,7,63.9,110.1,5.42,"3,510",403.8,21.27,82.5,15.8,1.3,0,0.3,6.6,7.1,0.9,113,39.8,2.6,16.6,9.7,3.5
2021,fall,4,north,pc,3,6.8,7,43.3,101.5,5.7,"3,675",453.3,23.43,78.4,16.1,1.1,4,0.3,6.7,7.1,1,119.4,29.8,3.3,17.6,10.8,3.8
2021,fall,3,north,pc_n,1,7.1,7,47.9,102.7,4.98,"3,851",475.2,23.54,81.8,16.8,1.1,0,0.3,5.9,6.1,0.9,109.8,39,3.1,15.1,12,3.3
2021,fall,3,north,pc_n,2,7,7,46.7,107.9,5.46,"4,286",539.5,26.27,81.6,17.1,1.1,0,0.3,5.9,6.4,1,132.4,41.7,3.3,15.9,14.2,3.9
2021,fall,3,north,pc_n,3,7.1,7,60.5,98.1,5.08,"4,246",562.7,26.24,80.9,17.9,1,0,0.3,7.4,7.2,1,129.7,39.7,2.9,15.7,9.9,4.4
2021,fall,2,north,ref,1,6.6,7,53.5,123.6,5.18,"3,579",378.5,23.31,76.8,13.5,1.4,8,0.3,6.8,5.2,0.8,142.8,25.6,2.2,17.2,11.8,3.8
2021,fall,2,north,ref,2,6.7,7,91,159.6,5.33,"3,521",478.5,23.5,74.9,17,1.7,6,0.4,8.9,8,0.9,139.4,21.4,2.6,19.8,14.3,3.4
2021,fall,2,north,ref,3,6.8,7,31.3,119.2,4.86,"3,446",445.1,22.21,77.6,16.7,1.4,4,0.3,5.2,4,0.9,98.7,34.6,2.7,16.7,17.8,3.3
2021,fall,1,north,pc,1,6.9,7,33.3,111.3,5.18,"3,055",370.2,19.1,80,16.1,1.5,2,0.4,5.7,3.8,0.8,96.3,35,2.2,17.2,16.1,4
2021,fall,1,north,pc,2,6.6,7,51.8,99.4,5.48,"3,694",433,24.35,75.8,14.8,1.1,8,0.3,6.4,7.5,1,108.9,30.4,3.2,16.7,23.6,3.9
2021,fall,1,north,pc,3,6.6,7,54.1,112.4,5.71,"3,899",560.6,26.65,73.2,17.5,1.1,8,0.2,8.2,9.8,1,130.2,36,3.3,14,10.5,3.2
2019,fall,1,north,pc,1,6.9,7,83.3,190,6.85,"5,020",639.4,31.55,79.57,16.89,1.54,2,,26.7,20.5,1.3,157.4,42.9,4.1,,16,5
2019,fall,1,north,pc,2,6.9,7,97.9,183.4,6.21,"4,198",510.2,26.23,80,16.21,1.79,2,,22.5,18.1,1,153.7,37.3,3.7,,10.4,2.7
2019,fall,1,north,pc,3,6.8,7,33.6,224.4,5.38,"3,514",379.2,22.19,79.17,14.24,2.59,4,,19.6,7.6,0.9,121.7,52.2,2.8,,11.8,3.1
2020,spring,1,north,pc,1,6.9,7,144.8,176.1,6.75,7947,1005.1,24.78,80.19,16.9,0.91,2,,,,,,,,,3.7,1.5
2020,spring,1,north,pc,2,7,7,201.2,185,5.78,6578,822.8,20.11,81.77,17.05,1.18,0,,,,,,,,,3.3,1.7
2020,spring,1,north,pc,3,6.8,7,67.6,164.8,4.52,5037,559.1,15.76,79.88,14.78,1.34,4,,,,,,,,,2.6,1.5
2020,fall,1,north,pc,1,6.8,7,55.1,115,5.49,"3,814",540.8,24.87,76.69,18.12,1.19,4,,26.9,12.3,0.7,145.4,55.5,3.9,,9.5,2.7
2020,fall,1,north,pc,2,7.1,7,43.7,122.7,4.74,"3,268",461.3,20.5,79.71,18.76,1.53,0,,23.3,7,0.6,100.8,62.1,3,,8,2.1
2020,fall,1,north,pc,3,6.6,7,25.3,108.6,5.58,"3,557",413.4,23.38,76.07,14.73,1.19,8,,24.7,3.4,0.6,100.4,31.9,3.5,,5.6,2.5
2021,spring,1,north,pc,1,6.8,7,58.6,97.3,5.64,3946,541.2,25.58,77.1,17.6,1,4,0.3,8.2,14.7,1.4,147.1,47.8,3.2,14.8,4.1,3.8
2021,spring,1,north,pc,2,7.1,7,40.4,98.2,3.96,3088,406.3,19.14,80.7,17.7,1.3,0,0.4,6.2,5.8,1,107.4,59.1,2.7,15.4,2.1,2.8
2021,spring,1,north,pc,3,6.7,7,37,105.8,5.39,3721,417,23.85,78,14.6,1.1,6,0.3,8.6,4.6,1.1,113,35.2,2.9,16.3,2,3.5
2019,fall,2,north,ref,1,6.9,7,48,215,6.03,"3,737",455,23.5,79.52,16.14,2.35,2,,19.6,7.9,0.9,136.7,39.6,2.6,,11.1,3.1
2019,fall,2,north,ref,2,6.8,7,88.3,270.2,6.12,"3,636",392.1,23.06,78.83,14.17,3,4,,19.1,10,0.8,169.6,35,2.5,,9.6,2.5
2019,fall,2,north,ref,3,6.7,7,97.5,298.8,6.63,"3,941",470.8,25.95,75.93,15.12,2.95,6,,22.3,11.1,0.9,174.1,24.6,3,,13.3,2.6
2020,spring,2,north,ref,1,6.7,7,164.2,279.5,5.73,6163,751.3,20.1,76.65,15.57,1.78,6,,,,,,,,,9.1,1.3
2020,spring,2,north,ref,2,6.7,7,102.4,165.2,4.85,5898,620.6,18.66,79.01,13.86,1.14,6,,,,,,,,,6.6,1.6
2020,spring,2,north,ref,3,7,7,97.6,211.8,5.29,6557,805.7,20.02,81.88,16.77,1.36,0,,,,,,,,,7.5,1.5
2020,fall,2,north,ref,1,6.6,7,55.6,128.5,6.06,"3,489",431.3,23.23,75.11,15.47,1.42,8,,24.8,8.7,0.6,110.1,21,3,,14.6,1.9
2020,fall,2,north,ref,2,6.8,7,60.1,114.4,6.13,"3,261",356.3,20.38,79.99,14.57,1.44,4,,22.9,8.3,0.5,140.7,34.5,2.5,,12,2.1
2020,fall,2,north,ref,3,6.8,7,37.4,122.8,5.61,"3,373",424.3,21.58,78.15,16.39,1.46,4,,23,6.5,0.5,111.6,41.1,2.6,,9.7,2.4
2021,spring,2,north,ref,1,6.8,7,61,141.6,5.7,3805,433.4,24.03,79.2,15,1.5,4,0.3,9.7,6,1,130.7,26.2,2.4,17.3,7,2.6
2021,spring,2,north,ref,2,6.7,7,42.8,94.9,5.09,3266,339.5,20.71,78.8,13.7,1.2,6,0.3,6.3,5.4,0.8,143.1,37.7,2.1,15.4,7.9,3.3
2021,spring,2,north,ref,3,6.9,7,28.8,104.3,5.09,3429,413.8,21.36,80.3,16.1,1.3,2,0.4,8.5,4.4,0.9,114.7,41.5,2.3,17,7,3.3
2019,fall,3,north,pc_n,1,7,7,93.6,226.9,6.5,"4,439",505.8,26.99,82.23,15.61,2.16,0,,22.3,15.7,1,174.2,31.9,3.8,,11.5,4.2
2019,fall,3,north,pc_n,2,7.1,7,81.2,208.8,6.51,"4,233",460.7,25.54,82.87,15.03,2.1,0,,22,11,0.9,185.5,37.8,3.6,,9.2,4
2019,fall,3,north,pc_n,3,7,7,109.2,259.8,7.13,"4,298",486.7,26.21,81.99,15.47,2.54,0,,22.7,16.9,1,154.1,37.2,3.4,,10.1,3
2020,spring,3,north,pc_n,1,7.4,7,222,259,5.23,6854,1204.8,22.49,76.2,22.33,1.48,0,,,,,,,,,3.9,1
2020,spring,3,north,pc_n,2,7.2,7,150.4,157.3,5.29,7475,1015.7,23.12,80.82,18.3,0.87,0,,,,,,,,,3.5,1.4
2020,spring,3,north,pc_n,3,7.1,7,84.8,134.3,5.25,6668,777.5,20.08,83.01,16.13,0.86,0,,,,,,,,,3.1,0.9
2020,fall,3,north,pc_n,1,6.9,7,41.5,114.4,4.37,"3,134",378.6,19.51,80.33,16.17,1.5,2,,21.9,7.3,0.5,153.5,91.7,3.6,,6.7,2.3
2020,fall,3,north,pc_n,2,6.9,7,88.6,113.7,6.19,"4,068",569.5,25.89,78.55,18.33,1.13,2,,27.5,12.2,0.7,144.9,59.6,3.3,,8.9,2.3
2020,fall,3,north,pc_n,3,6.9,7,48.5,105.2,5.91,"4,133",527.3,25.85,79.96,17,1.04,2,,28.9,7.9,0.6,130.9,57.9,3.8,,8.6,3.8
2021,spring,3,north,pc_n,1,7,7,42.3,84.5,5.24,3891,474.3,23.68,82.2,16.7,0.9,0,0.2,7.7,6.6,1,124.4,59.5,3.1,13.1,2.5,3.3
2021,spring,3,north,pc_n,2,7.2,7,45.6,89.5,5.11,4154,553.2,25.67,80.9,18,0.9,0,0.3,8.1,6.4,1.1,134.3,76.1,3,14.9,3.3,2.9
2021,spring,3,north,pc_n,3,7.3,7,40.7,102.4,5.11,4122,529.9,25.34,81.3,17.4,1,0,0.2,6,6.8,1.2,144.3,75.4,3.2,13,1.9,3.4
2019,fall,4,north,pc,1,7.4,7,147.4,239.2,5.49,"4,133",701.8,27.13,76.18,21.56,2.26,0,,20.9,21.4,1.1,155.9,78.1,3.7,,7.2,2.9
2019,fall,4,north,pc,2,7,7,86.5,159.8,6.09,"4,427",566.8,27.27,81.17,17.32,1.5,0,,22.3,13.2,1,147.5,38.4,3.1,,8.5,3.3
2019,fall,4,north,pc,3,7.1,7,50.2,173.1,5.6,"4,455",517.9,27.04,82.39,15.96,1.64,0,,22.5,10,1,133.7,45.2,3.5,,11.8,4.2
2020,spring,4,north,pc,1,7,7,244.2,248.9,6.59,6971,834.4,21.22,82.11,16.38,1.5,0,,,,,,,,,3.1,1
2020,spring,4,north,pc,2,7.1,7,171.8,185.7,6.6,6917,777.5,20.77,83.26,15.6,1.15,0,,,,,,,,,3.3,1
2020,spring,4,north,pc,3,7.1,7,155.2,230.9,6.16,6550,736.8,19.74,82.95,15.55,1.5,0,,,,,,,,,3.4,1.3
2020,spring,4,north,pc,1,6.8,7,234.4,320.4,6.96,7062,856.5,22.54,78.34,15.84,1.82,4,,,,,,,,,3.3,1.2
2020,fall,4,north,pc,2,6.9,7,71.3,140.5,5.84,"3,789",471.4,23.71,79.91,16.57,1.52,2,,26.7,12.2,0.6,112.7,31,3.6,,11.1,2.5
2020,fall,4,north,pc,3,7,7,92.9,119.7,6.98,"3,934",453.6,23.76,82.8,15.91,1.29,0,,27.9,11.8,0.6,146.8,39.6,3.7,,13.6,2.3
2020,fall,4,north,pc,1,7,7,67.1,126.9,5.96,"3,682",413.7,22.18,82.99,15.54,1.47,0,,25.6,9.9,0.6,119.9,47.1,3,,8.6,1.9
2021,spring,4,north,pc,2,7,7,47.1,111.6,5.26,3638,443.9,22.24,81.8,16.6,1.3,0,0.3,6.9,7.3,1,121.9,34,3.1,15.4,1.2,3.3
2021,spring,4,north,pc,3,7.1,7,60,94.4,6.05,4345,459.2,25.87,84,14.8,0.9,0,0.3,9.5,6.8,1.2,144.7,37.2,3.2,16.6,2.9,3.5
2021,spring,4,north,pc,1,7.1,7,34.9,95.7,5.21,3852,400.1,22.9,84.1,14.6,1.1,0,0.3,9.1,4.9,0.9,115.1,42.7,2.3,15.3,1.4,2.8
2019,fall,5,north,pc_n,2,7,7,30.8,142.5,4.55,"3,458",417,21.13,81.82,16.45,1.73,0,,17.3,6.5,0.8,115.9,59.3,2.9,,7.2,4
2019,fall,5,north,pc_n,3,7.1,7,67.1,169.1,6.08,"4,100",462.9,24.79,82.69,15.56,1.75,0,,20.3,9.8,1,133.9,33,3.4,,8.3,2.6
2019,fall,5,north,pc_n,1,6.9,7,72.8,165.2,6.39,"3,845",442.9,23.81,80.72,15.5,1.78,2,,21.1,10.7,0.8,157.6,22.2,2.7,,9.2,2.7
2020,spring,5,north,pc_n,2,7,7,77.8,165.1,4.15,5611,690.1,17.11,81.96,16.8,1.24,0,,,,,,,,,2.9,1.3
2020,spring,5,north,pc_n,3,7.1,7,137,194.1,5.33,6527,757.3,19.72,82.74,16,1.26,0,,,,,,,,,2.6,1.3
2020,spring,5,north,pc_n,1,6.8,7,151,179.1,5.8,6442,751.7,20.28,79.42,15.45,1.13,4,,,,,,,,,6.5,1.6
2020,spring,5,north,pc_n,2,6.8,7,147.6,216.2,6.28,6453,741.8,20.31,79.42,15.22,1.36,4,,,,,,,,,3.1,1.2
2020,fall,5,north,pc_n,3,7,7,31.9,111.1,4.86,"3,538",437.5,21.62,81.82,16.86,1.32,0,,25.3,6,0.6,98.8,85.7,3.1,,8.1,2.1
2020,fall,5,north,pc_n,1,6.7,7,56.8,103.5,6.78,"3,823",455.5,24.66,77.53,15.39,1.08,6,,25.8,6.9,0.6,123,25.5,3,,9.7,2.1
2020,fall,5,north,pc_n,2,6.7,7,63.2,109.3,6.25,"3,611",437.3,23.38,77.22,15.59,1.2,6,,26.5,8.8,0.5,141.2,25.7,2.8,,11.6,2.2
2021,spring,5,north,pc_n,3,7.2,7,20.5,82.9,4.38,3384,398.8,20.52,82.5,16.2,1,0,0.3,5.8,4,1.1,91.5,78.4,2.7,15.1,4.6,3.3
2021,spring,5,north,pc_n,1,6.9,7,35.3,84.3,5.84,3786,433.7,23.3,81.3,15.5,0.9,2,0.3,5.9,4.3,1,114,24.2,2.5,16.3,2.7,3.8
2021,spring,5,north,pc_n,2,6.8,7,38,77.1,5.29,3466,389.1,21.71,79.8,14.9,0.9,4,0.3,7.3,4.6,0.8,128.6,21.9,2.1,16.1,2.4,3.1
2019,fall,6,north,ref,3,6.9,7,29.3,134.4,4.28,"2,809",307.9,17.3,81.18,14.83,1.99,2,,15.5,5,0.6,111.8,58.3,2,,13.3,2.6
2019,fall,6,north,ref,1,7.1,7,64.9,164.5,6.18,"3,816",452.2,23.27,81.99,16.2,1.81,0,,20.2,7.7,0.9,132.8,31.1,2.7,,11.5,4.2
2019,fall,6,north,ref,2,7,7,79,193.8,6.18,"3,387",402.1,20.78,81.49,16.12,2.39,0,,18,9.9,0.8,136.5,39.4,2.6,,9.2,4
2020,spring,6,north,ref,3,6.9,7,94.4,171.1,4.55,5000,559.4,15.36,81.39,15.18,1.43,2,,,,,,,,,4.8,1
2020,spring,6,north,ref,1,6.9,7,165.6,226.8,5.88,6589,763,20.35,80.95,15.62,1.43,2,,,,,,,,,7.2,0.9
2020,spring,6,north,ref,2,6.9,7,195.8,267.9,5.4,5737,713.6,18.02,79.59,16.5,1.91,2,,,,,,,,,6.9,1
2020,fall,6,north,ref,3,6.8,7,39.4,102.4,4.58,"2,883",318.1,18.05,79.86,14.69,1.45,4,,19.9,6,0.4,120,71.7,2.3,,5.8,2
2020,fall,6,north,ref,1,7,7,64.9,115.3,5.95,"3,918",475.3,23.84,82.15,16.61,1.24,0,,26,8.2,0.6,123.7,33.8,3.2,,9.3,2.3
2020,fall,6,north,ref,2,7,7,102.4,145.7,5.99,"3,348",442.9,20.8,80.46,17.74,1.8,0,,24.3,15.5,0.6,128.8,51.1,3.4,,11.3,2.1
2021,spring,6,north,ref,3,6.6,7,33.9,102.2,4.34,2824,313.4,18.56,76.1,14.1,1.4,8,0.4,9.6,4.5,0.7,120.2,64.7,2,18.7,6.6,3.5
2021,spring,6,north,ref,1,7,7,59.3,112.4,5.61,3835,460.3,23.37,82,16.4,1.2,0,0.3,9.8,6.3,1.1,120.2,34.1,2.7,16.2,6.4,2.7
2021,spring,6,north,ref,2,7.1,7,74.1,119.8,4.93,3368,431.5,20.81,80.9,17.3,1.5,0,0.3,7.1,8,1,111.5,52.7,2.7,16.4,6.4,3
2019,fall,7,south,ref,3,5.4,6.2,57.9,310.6,3.05,"1,489",76.1,13.05,57.04,4.86,6.1,32,,11.3,2.4,0.3,369.4,37.9,2.1,,10.1,3
2019,fall,7,south,ref,1,6.4,7,17.3,202,3.32,"2,350",132.4,15.2,77.33,7.26,3.41,12,,12.5,2.2,0.4,171.4,59.2,2,,7.2,2.9
2019,fall,7,south,ref,2,6.5,7,32.2,192.6,2.85,"1,739",76.7,10.92,79.62,5.86,4.52,10,,10.3,1.8,0.3,269.8,26.1,1.7,,8.5,3.3
2020,spring,7,south,ref,3,5.8,6.4,86.6,264.7,3.69,3101,139.4,11.41,67.94,5.09,2.97,24,,,,,,,,,6.7,1.5
2020,spring,7,south,ref,1,6.3,7,54,287.6,3.33,3880,375.4,13.53,71.71,11.56,2.73,14,,,,,,,,,6.1,2.2
2020,spring,7,south,ref,2,5.6,6.3,102.2,304.8,3.25,2541,121.7,10.07,63.08,5.04,3.88,28,,,,,,,,,5,2
2020,fall,7,south,ref,3,6.3,7,39,146.3,3.1,"1,802",81.6,11.7,76.99,5.81,3.21,14,,13.5,1.9,0.2,263.3,25.2,1.8,,6.2,2.4
2020,fall,7,south,ref,1,6.2,6.9,10,122,3.29,"1,985",240.4,14.57,68.11,13.75,2.15,16,,14.7,1.1,0.2,142,38.9,1.7,,3.5,2
2020,fall,7,south,ref,2,5.8,6.3,46.2,185.6,4.05,"1,914",86.2,14.16,67.57,5.07,3.36,24,,16.7,1.9,0.2,335.7,12.1,2,,7.8,2.6
2021,spring,7,south,ref,3,6.4,7,12.8,114.9,2.88,"2,133",268.1,15.06,70.8,14.8,2,12,0.4,6,1,0.5,130.4,36.9,1.4,13.5,5,3.2
2021,spring,7,south,ref,1,6.4,7,39,115.6,2.81,"1,789",78.8,11.31,79.1,5.8,2.6,12,0.5,7.4,1.7,0.5,314.6,22.5,1.6,12.6,9.3,2.7
2021,spring,7,south,ref,2,5.9,6.4,39.4,178.6,3.85,"1,719",75.2,12.48,68.9,5,3.7,22,0.4,8.3,1.6,0.4,320,12.4,1.6,12.4,8.6,3
2019,fall,8,south,pc,3,6.6,7,29.9,220,3.99,"2,888",265.2,18.71,77.18,11.81,3.01,8,,16,2.4,0.5,175.7,36,2.5,,7.2,4
2019,fall,8,south,pc,1,6.8,7,32.7,205.6,3.56,"2,818",270.4,17.57,80.18,12.82,3,4,,14.4,2,0.5,144.6,46.8,2.2,,8.3,2.6
2019,fall,8,south,pc,2,6.9,7,14.6,208.7,2.9,"2,325",160,13.77,84.43,9.68,3.89,2,,12.5,1.2,0.4,157.9,31.8,1.7,,11.8,4.2
2020,spring,8,south,pc,3,6.8,7,18.6,218.5,2.88,4186,643.4,13.98,74.83,19.17,2,4,,,,,,,,,5.4,2.4
2020,spring,8,south,pc,1,6.6,7,46.2,219.8,3.62,4220,435.8,13.75,76.74,13.21,2.05,8,,,,,,,,,4.6,1.5
2020,spring,8,south,pc,2,6.7,7,85.8,245.4,3.92,5443,647.8,17.68,76.96,15.26,1.78,6,,,,,,,,,3.3,1.8
2020,fall,8,south,pc,3,6.7,7,11.5,124.6,2.91,"2,184",314.6,14.75,74.06,17.77,2.17,6,,15.6,0.8,0.2,132.4,31.2,1.5,,2.3,2.2
2020,fall,8,south,pc,1,6.5,7,23.6,107.9,2.49,"1,615",89.3,10.1,79.9,7.36,2.74,10,,12.2,1.3,0.2,202.4,21.1,1.7,,5,2.1
2020,fall,8,south,pc,2,6.3,6.8,14.5,130.7,3.96,"2,422",242.8,16.82,71.98,12.03,1.99,14,,17.4,1.2,0.3,132.9,39.8,2.6,,5.2,3
2021,spring,8,south,pc,3,6.5,7,12.3,123.9,3.33,"2,335",229.6,15.51,75.3,12.3,2,10,0.3,5,1,0.5,137.5,39,2,12.4,1.4,3.3
2021,spring,8,south,pc,1,6.7,7,20.6,98.7,2.41,"1,618",91.6,9.75,83,7.8,2.6,6,0.6,5.6,1.1,0.4,223.4,21.5,1.5,12.5,1.7,2.6
2021,spring,8,south,pc,2,6.7,7,10.7,118.7,2.55,"2,257",340.4,15.41,73.2,18.4,2,6,0.4,6.3,1,0.3,146.9,34.2,1.3,13.7,1,3.4
2019,fall,9,south,pc_n,3,5.9,6.6,39.2,197.4,3.37,"1,802",81.8,13.08,68.91,5.22,3.87,22,,12,1.9,0.4,350.8,15.3,1.8,,9.2,2.7
2019,fall,9,south,pc_n,1,6.7,7,12.6,187.7,2.78,"2,278",356,15.79,72.16,18.79,3.05,6,,12.6,0.8,0.4,152.7,40.4,1.4,,5.7,4.1
2019,fall,9,south,pc_n,2,5.9,6.4,39.2,271,4.16,"2,047",91.3,14.99,68.29,5.08,4.64,22,,13.5,2,0.3,368.8,11.7,1.8,,5,2.1
2020,spring,9,south,pc_n,3,5.8,6.6,123.6,371.8,2.88,2655,119.8,10.02,66.26,4.98,4.76,24,,,,,,,,,8,1.7
2020,spring,9,south,pc_n,1,6,6.8,37.4,236.3,3.11,3632,208.8,12.82,70.85,6.79,2.36,20,,,,,,,,,11.1,0.5
2020,spring,9,south,pc_n,2,6.1,7,58.2,221.6,2.31,2630,138,9.07,72.52,6.34,3.13,18,,,,,,,,,7.1,0.5
2020,fall,9,south,pc_n,3,5.4,6.1,53.2,151.4,3.21,"1,450",54.8,11.9,60.9,3.83,3.26,32,,12.8,1.9,0.2,339.3,25.7,1.9,,5.8,1.9
2020,fall,9,south,pc_n,1,6.1,6.9,13.2,113.7,3.16,"1,822",106.9,12.55,72.58,7.1,2.32,18,,12.6,1.7,0.2,154.5,56.7,1.9,,4.2,1.8
2020,fall,9,south,pc_n,2,6.2,7,11.3,101.4,3,"1,770",122.8,12.06,73.36,8.49,2.16,16,,13.6,1.5,0.2,147.9,63.8,2,,3.5,2.7
2021,spring,9,south,pc_n,3,5.6,6.4,50.5,147.4,2.93,"1,398",61.2,11.01,63.5,4.6,3.4,28,0.5,7.6,1.7,0.4,333.6,22.3,1.8,11.8,2.2,2.8
2021,spring,9,south,pc_n,1,6.4,7,12.5,131.1,3.07,"2,120",137.7,13.79,76.9,8.3,2.4,12,0.4,7.2,1.9,0.5,180.8,67.9,2,12,0.9,3.5
2021,spring,9,south,pc_n,2,6.3,7,10.9,95.1,2.44,"1,847",137.5,12.42,74.4,9.2,2,14,0.4,5.6,1.2,0.4,141.5,51.6,1.7,12.7,2.3,2.8
