agency_cd,site_no,peak_dt,peak_tm,peak_va,peak_cd,gage_ht,gage_ht_cd,year_last_pk,ag_dt,ag_tm,ag_gage_ht,ag_gage_ht_cd
5s,15s,10d,6s,8s,33s,8s,27s,4s,10d,6s,8s,27s
USGS,5550500,1952-03-11,,303,,3.82,,,,,,
USGS,5550500,1953-06-10,,282,,3.65,,,,,,
USGS,5550500,1954-04-25,,310,,3.83,,,,,,
USGS,5550500,1954-10-10,,291,,3.72,,,,,,
USGS,5550500,1956-05-10,,175,,2.89,,,,,,
USGS,5550500,1957-07-13,,286,,3.72,,,,,,
USGS,5550500,1958-02-28,,210,,3.16,,,,,,
USGS,5550500,1959-02-23,,258,,3.51,2,,2/23/59,1200,3.96,1
USGS,5550500,1960-03-30,,340,,3.88,,,,,,
USGS,5550500,1961-09-25,,327,,3.12,,,,,,
USGS,5550500,1962-03-19,,512,,3.51,,,,,,
USGS,5550500,1963-04-30,,171,,2.56,,,,,,
USGS,5550500,1964-07-18,,263,,3.35,,,,,,
USGS,5550500,1965-02-07,,350,2,,,,,,,
USGS,5550500,1966-02-10,,476,,4.14,,,,,,
USGS,5550500,1967-06-10,,797,,5.29,,,,,,
USGS,5550500,1968-08-17,,298,,3.27,,,,,,
USGS,5550500,1969-06-09,,247,,2.99,,,,,,
USGS,5550500,1970-06-02,,560,,4.38,,,,,,
USGS,5550500,1971-02-19,,296,,3.18,2,,2/17/71,,3.76,1
USGS,5550500,1972-09-18,,294,,3.06,,,,,,
USGS,5550500,1973-04-22,,896,,5.45,,,,,,
USGS,5550500,1974-05-22,,552,,4.13,,,,,,
USGS,5550500,1975-06-17,,488,,3.87,,,,,,
USGS,5550500,1976-03-05,,490,,3.88,,,,,,
USGS,5550500,1977-03-29,,117,,2.1,,,,,,
USGS,5550500,1978-07-03,,571,,4.21,,,,,,
USGS,5550500,1979-03-19,,765,,4.97,,,,,,
USGS,5550500,1980-09-17,,370,2,,,,,,,
USGS,5550500,1981-04-23,,304,,3.25,,,,,,
USGS,5550500,1982-03-13,,537,,4.61,,,,,,
USGS,5550500,1982-12-03,,761,,5.67,,,,,,
USGS,5550500,1984-02-13,,394,,3.86,,,,,,
USGS,5550500,1985-03-04,,633,,5.08,,,,,,
USGS,5550500,1985-11-20,,719,,5.48,,,,,,
USGS,5550500,1987-08-27,,625,,5.09,,,,,,
USGS,5550500,1988-04-06,,441,,4.28,,,,,,
USGS,5550500,1989-08-05,,700,,5.79,,,,,,
USGS,5550500,1990-08-21,,669,,5.27,,,,,,
USGS,5550500,1990-11-28,,399,,4.08,,,,,,
USGS,5550500,1991-11-30,,212,,3.07,,,,,,
USGS,5550500,1993-07-19,,691,C,5.39,,,,,,
USGS,5550500,1994-02-20,,779,C,5.74,,,,,,
USGS,5550500,1995-04-27,,580,C,4.92,,,,,,
USGS,5550500,1996-05-29,,437,C,4.15,,,,,,
USGS,5550500,1997-02-21,,1180,C,6.78,,,,,,
USGS,5550500,1998-05-08,,400,C,4.29,,,,,,
USGS,5550500,1999-04-23,,882,C,6.13,,,,,,
USGS,5550500,2000-04-21,,555,C,4.33,,,,,,
USGS,5550500,2001-02-09,,600,C,4.59,,,,,,
USGS,5550500,2001-10-14,,637,C,4.67,,,,,,
USGS,5550500,2003-05-11,,552,C,4.3,,,,,,
USGS,5550500,2004-03-06,,367,C,3.54,,,,,,
USGS,5550500,2005-01-14,,407,C,3.68,,,,,,
USGS,5550500,2006-03-13,,461,C,3.92,,,,,,
USGS,5550500,2007-08-24,,1120,C,5.9,,,,,,
USGS,5550500,2008-09-13,22:30,1560,C,7.69,,,,,,
USGS,5550500,2008-12-28,,1170,C,6.55,,,,,,
USGS,5550500,2010-05-13,19:15,864,C,5.89,,,,,,
USGS,5550500,2011-05-29,23:30,634,C,5.12,,,,,,
USGS,5550500,2011-12-15,2:45,262,C,3.61,,,,,,
USGS,5550500,2013-04-18,15:30,1430,C,7.42,,,,,,
USGS,5550500,2014-07-01,11:30,543,C,4.8,,,,,,
USGS,5550500,2015-06-16,9:15,784,C,4.94,,,,,,
USGS,5550500,2015-12-14,21:15,357,C,3.19,2,,2/3/16,400,3.32,
USGS,5550500,2017-05-01,12:00,699,C,4.84,,,,,,
USGS,5550500,2018-05-31,8:45,837,C,5.37,,,,,,
USGS,5550500,2019-05-01,13:30,699,C,4.67,,,,,,
USGS,5550500,2020-05-15,7:30,1220,C,6.61,,,,,,
USGS,5550500,2021-06-27,2:00,395,C,3.41,,,,,,